# z	Spline	Integral	ExactSin	ExactIntegral
6.99999999999999	0.656986598718779	0.191863444850932	0.656986598718782	0.24609774565669
7.09999999999999	0.764567863619191	0.263078842227293	0.72896904012587	0.315453333557187
7.19999999999999	0.855628217384059	0.344226320536919	0.793667863849147	0.391648685467738
7.29999999999999	0.930167660013382	0.433653788666253	0.850436620628559	0.473922482618886
7.39999999999999	0.988186191507161	0.529709155501743	0.898708095811622	0.5614526724256
7.49999999999999	1.02968381186539	0.630740329929833	0.937999976774735	0.653364682164964
7.59999999999999	1.05466052108808	0.735095220836969	0.967919672031484	0.748740157417734
7.69999999999999	1.06311631917523	0.841121737109597	0.988168233876999	0.846626137962124
7.79999999999999	1.05505120612682	0.947167787634162	0.998543345374604	0.946044579437339
7.89999999999999	1.03046518194288	1.05158128129711	0.998941341839773	1.04600212563952
7.99999999999999	0.989358246623388	1.15271012698489	0.989358246623384	1.1455000338086
8.09999999999999	0.939155197211033	1.24914972681869	0.969889810845089	1.24354415373578
8.19999999999999	0.887280830748499	1.34048545585875	0.940730556679777	1.33915486098382
8.29999999999999	0.833735147235785	1.42655018240005	0.9021718337563	1.43137684497061
8.39999999999999	0.778518146672892	1.50717677473757	0.854598908088288	1.51928865411667
8.49999999999999	0.72162982905982	1.58219810116629	0.798487112623499	1.60201190268481
8.59999999999999	0.663070194396568	1.65144702998119	0.734397097874123	1.67872004732
8.69999999999999	0.602839242683137	1.71475642947726	0.662969230082194	1.74864664559739
8.79999999999998	0.540936973919526	1.77195916794948	0.584917192891775	1.81109301406165
8.89999999999998	0.477363388105736	1.82288811369283	0.501020856457899	1.8654352092411
8.99999999999998	0.412118485241767	1.86737613500229	0.412118485241771	1.91113026188467
